market,year,stock_nom,bond_nom,cpi
germany,1931,-34.1824,-12.4219,-8.1081
germany,1932,13.7115,24.3992,-11.0294
germany,1933,14.4189,20.9618,-2.4793
germany,1934,14.0083,4.5467,2.5424
germany,1935,16.0275,4.6375,1.6529
germany,1936,29.8902,7.1116,0.813
germany,1937,1.7761,9.561,0.8065
germany,1938,-2.7276,6.6617,0.8
germany,1939,13.3669,4.5717,0.0
germany,1940,33.7694,7.7672,3.1746
germany,1941,7.4765,6.9006,2.3077
germany,1942,14.26,6.1129,3.0075
germany,1943,4.271,6.4544,0.7299
germany,1944,3.1703,,2.1739
germany,1945,-13.4349,,2.8369
germany,1946,-9.7041,,8.9655
germany,1947,8.5387,,6.962
germany,1948,-88.4147,,15.3846
germany,1949,136.8189,6.4588,7.0352
germany,1950,-8.3105,3.7012,-6.2201
germany,1951,117.7476,3.5919,7.6531
germany,1952,21.7917,6.2941,2.1327
germany,1953,25.1899,1.4949,-1.8561
germany,1954,89.2624,7.1288,0.2364
germany,1955,11.0411,10.2447,1.6509
germany,1956,-4.8883,-5.6685,2.5522
germany,1957,7.799,-0.2312,2.1116
germany,1958,61.1098,12.7051,2.0864
germany,1959,81.9619,9.1758,0.9767
germany,1960,37.9163,2.0546,1.4867
germany,1961,-6.9643,9.9887,2.2767
germany,1962,-21.5305,5.5385,2.8818
germany,1963,12.0493,5.4773,2.9856
germany,1964,9.5103,6.9307,2.3453
germany,1965,-11.8911,0.1762,3.2304
germany,1966,-13.6337,0.0972,3.6226
germany,1967,37.9157,15.8896,1.6067
germany,1968,15.9881,8.9202,1.6252
germany,1969,19.1456,0.9404,1.8729
germany,1970,-21.5191,5.4736,3.4366
germany,1971,7.2337,8.5388,5.2365
germany,1972,16.4312,4.0692,5.4956
germany,1973,-15.1247,3.291,6.9951
germany,1974,2.4215,8.2334,6.9636
germany,1975,31.1562,13.4946,5.94
germany,1976,-2.2198,11.1454,4.2966
germany,1977,12.4508,13.5628,3.6911
germany,1978,11.9187,3.7436,2.6862
germany,1979,-9.3715,0.5099,4.116
germany,1980,3.3765,3.1024,5.4204
germany,1981,2.7976,5.0719,6.325
germany,1982,14.8125,18.5699,5.2669
germany,1983,39.3294,4.9066,3.276
germany,1984,10.9892,13.1914,2.4079
germany,1985,66.6514,10.2597,2.1823
germany,1986,15.0353,8.6205,-0.125
germany,1987,-33.5088,6.8148,0.242
germany,1988,27.8991,4.95,1.2736
germany,1989,31.482,1.6103,2.7782
germany,1990,-6.9789,1.4066,2.6965
germany,1991,12.8555,11.1707,3.6362
germany,1992,-2.0868,13.4088,5.0579
germany,1993,46.7059,14.6619,4.4575
germany,1994,-7.0632,-2.5139,2.7335
germany,1995,6.9924,16.6929,1.8404
germany,1996,22.1419,7.5461,1.4878
germany,1997,40.8259,6.5617,1.5187
germany,1998,15.5356,11.2409,0.5854
germany,1999,31.6755,-1.9451,0.679
germany,2000,-9.9125,6.8553,1.4027
germany,2001,-17.9138,5.6241,1.9001
germany,2002,-39.9401,9.0192,1.3053
germany,2003,37.5763,4.0872,1.0934
germany,2004,8.4665,6.7013,1.7504
germany,2005,28.2018,4.0816,1.929
germany,2006,24.0872,0.2688,1.7848
germany,2007,20.4231,2.5138,2.2894
germany,2008,-42.5787,10.144,2.7451
germany,2009,25.404,4.9247,0.2462
germany,2010,18.4575,4.0067,1.1187
germany,2011,-14.816,8.2909,2.4825
germany,2012,29.2628,4.64,2.1506
germany,2013,26.746,-0.4857,1.5981
germany,2014,3.0945,7.1004,0.7692
germany,2015,11.3298,0.5129,0.6798
germany,2016,5.68,4.0645,0.3751
germany,2017,16.38,1.1384,1.711
germany,2018,-16.85,2.5324,1.935
germany,2019,22.77,5.8534,1.3533
germany,2020,7.59,3.208,0.3717
germany,2021,15.8,-2.7,3.1
germany,2022,-12.3,-18.5,6.9
germany,2023,20.3,5.7,5.9
germany,2024,18.8,-1.0,2.3
germany,2025,25.0,0.5,2.1
world,1871,15.0172,5.1486,1.527
world,1872,20.5784,3.8467,2.2555
world,1873,15.3884,6.5574,-4.4121
world,1874,5.2745,8.7022,-6.9226
world,1875,5.0043,8.9795,-5.7856
world,1876,-3.076,5.7916,0.8774
world,1877,-2.3871,5.4125,-15.6525
world,1878,-6.4943,5.3819,-10.3088
world,1879,16.4958,5.9091,20.69
world,1880,10.8911,6.7058,-5.7146
world,1881,7.4902,4.4148,8.0808
world,1882,1.7758,3.5994,-1.8687
world,1883,9.6628,3.7723,-7.6198
world,1884,0.3523,4.4986,-10.3088
world,1885,2.8022,4.8132,-3.4484
world,1886,5.3575,2.2025,0.0
world,1887,12.704,2.3647,4.7623
world,1888,18.4773,5.5418,-4.5458
world,1889,11.9934,3.7511,-4.7619
world,1890,-1.7991,1.8558,2.5
world,1891,-8.2638,3.8434,-6.0976
world,1892,0.9527,2.4512,7.7923
world,1893,-1.7759,4.2207,-13.2531
world,1894,12.97,5.7374,-4.1666
